City,Population
London,7556900
Birmingham,984333
Liverpool,864122
Nottingham,729977
Sheffield,685368
Bristol,617280
Glasgow,591620
Leicester,508916
Edinburgh,464990
Leeds,455123
Manchester,395515
Coventry,359262
Reading,318014
Preston,313332
Swansea,300352
Bradford,299310
Belfast,274770
Derby,270468
Southampton,246201
Milton+Keynes,229941
Northampton,215963
Aberdeen,196670
Newcastle+upon+Tyne,192382
Swindon,185609
Croydon,173314
Oxford,171380
Warrington,165456
Slough,163777
Peterborough,163379
Cambridge,158434
Doncaster,158141
York,153717
Gloucester,150053
Dundee,147710
Blackburn,146521
Stockport,139052
Brighton,139001
Exeter,117763
Chelmsford,111511
Basingstoke,107642
Maidstone,107627
Chester,90524
Derry,83652
Wakefield,78978
Lisburn,77506
Paisley,76220
Guildford,71873
Newtownabbey,63860
Tonypandy,62545
Bangor,60385
Rhondda,59450
Craigavon,59236
Bridgend,58380
Livingston,56570
Barry,54673
Hamilton,53200
Dunfermline,50380
Llanelli,49591
Kirkcaldy,49460
Cwmbran,48157
Ayr,47190
Perth,47180
Inverness,46870
Kilmarnock,46350
Neath,46126
Merthyr+Tydfil,43820
Greenock,43690
Christchurch,42396
Glenrothes,39100
Stirling,36440
Falkirk,35310
Irvine,33740
Dumfries,33280
Ebbw+Vale,33068
Motherwell,32120
Aberdare,31135
Caerphilly,31060
Pontypridd,30420
Antrim,30420
Armagh,30420
Ballymena,30420
Ballymoney,30420
Banbridge,30420
Carrickfergus,30420
Coleraine,30420
Cookstown,30420
Down,30420
Downpatrick,30420
Dungannon,30420
Enniskillen,30420
Fermanagh,30420
Larne,30420
Magherafelt,30420
Newry,30420
Newtownards,30420
Omagh,30420
Alford,30420
Alloa,30420
Dumbarton,30420
Dyce,30420
Elgin,30420
Ellon,30420
Forfar,30420
Grangemouth,30420
Helensburgh,30420
Inverurie,30420
Montrose,30420
Blackwood,30420
Burton,30420
Caldicot,30420
Carmarthen,30420
Chepstow,30420
Conwy,30420
Ely,30420
Hengoed,30420
Hook,30420
Magor,30420
Merthyr,30420
Milford+Haven,30420
Nelson,30420
Pembroke,30420
Penarth,30420
Port+Talbot,30420
Porth,30420
Ystrad+Mynach,30420
