Company,City,Job_Type,Industry,Avg_Salary,Job_Kind,Seniority
Nesta,London,contract,Organization,30000.0,datascientist,junior_level
Pivigo Ltd,London,contract,Other,130000.0,datascientist,middle_level
CMW International,London,contract,Other,117000.0,datascientist,middle_level
J&C Associates Ltd,London,contract,Other,21190.0,datascientist,middle_level
Salt Recruitment,London,contract,Consulting and Business Services,143000.0,datascientist,senior_level
La Fosse Associates,London,contract,Human Resources and Staffing,156000.0,datascientist,middle_level
Lawrence Harvey,London,contract,Other,26000.0,datascientist,middle_level
onezeero,London,contract,Other,182000.0,datascientist,middle_level
Lawrence Harvey,London,contract,Other,136500.0,datascientist,middle_level
Nesta,London,contract,Organization,30000.0,studentcoordinator,middle_level
Huntress,London,contract,Human Resources and Staffing,72800.0,datascientist,senior_level
Vitamin T,London,contract,Human Resources and Staffing,85000.0,datascientist,middle_level
Talent International,London,contract,Human Resources and Staffing,123500.0,datascientist,middle_level
Blue Pelican,London,contract,Other,110500.0,datascientist,middle_level
GCS Recruitment Specialists Ltd,London,contract,Human Resources and Staffing,72800.0,socialmediaspecialist,senior_level
Premier Group,London,contract,Other,117000.0,datascientist,senior_level
The Institute of Cancer Research,London,contract,Other,27367.0,data,senior_level
Nicoll Curtin Limited,London,contract,Other,110500.0,datascientist,middle_level
Vertex Solutions,London,contract,Other,156000.0,Unknown,middle_level
Investigo,London,contract,Human Resources and Staffing,182000.0,Unknown,middle_level
Mcgregor Boyall,London,contract,Human Resources and Staffing,175500.0,Unknown,middle_level
Vertex Solutions,London,contract,Other,149500.0,Unknown,middle_level
"UK Government - Department for Environment, Food a...",London,contract,Other,120000.0,Unknown,senior_level
La Fosse Associates,London,contract,Human Resources and Staffing,156000.0,Unknown,senior_level
Transport for London,London,contract,Transport and Freight,20231.0,apprentice,junior_level
Imperial College London,London,contract,Education and Schools,39172.0,researchassociate,middle_level
Certus Recruitment Group,London,contract,Human Resources and Staffing,143000.0,datascientist,senior_level
Imperial College London,London,contract,Education and Schools,47781.5,researchfellow,middle_level
Imperial College London,London,contract,Education and Schools,39160.0,researchfellow,middle_level
Shell Trading,London,contract,Energy and Utilities,55000.0,quantitativeanalyst,middle_level
Pertemps Network Group,London,contract,Other,156000.0,dataengineer,senior_level
